name,count
<3,130
lol,79
we,71
very,62
hi,60
your,55
:),55
just,52
now,51
good,50
about,49
see,48
up,45
babe,43
wanna,42
what,41
u,40
out,35
really,35
babes,35
going,35
if,34
also,34
ok,33
time,33
or,32
how,32
you're,31
right,31
tomorrow,29
come,28
si,28
know,27
maybe,27
slc,27
home,27
are you,27
where,27
there,26
going to,26
they,26
<3 <3,25
think,25
bae,25
one,25
meet,25
let's,25
when,24
all,23
oh,23
i can,23
feel,22
no,22
over,22
down,22
he,22
some,22
coffee,22
will,21
in the,21
could,21
i have,20
did,20
yes,20
i don't,20
josh,20
today,19
it was,19
free,19
fun,19
i'm gonna,19
see you,19
yay,19
yeah,19
then,19
