name,count
lol,125
bb,103
your,87
just,86
we,83
up,77
good,73
<3,71
if,66
ok,61
wanna,58
out,57
think,56
now,53
very,52
what,49
or,49
come,48
i think,48
work,47
time,47
see,45
want,45
all,42
when,42
would,42
u,42
they,41
also,40
:),39
no,39
wow,39
make,38
them,38
you're,37
dang,36
he,35
down,35
know,34
how,34
i can,34
there,34
yes,34
will,33
that's,33
should,33
home,33
yeah,33
one,33
babe,32
really,31
about,31
where,29
do you,29
going,28
i'm gonna,28
i have,27
need,27
here,27
have to,27
because,26
feel,26
some,25
haha,25
did,25
then,25
love,25
stuff,25
you have,24
oh,24
hi,24
take,24
tomorrow,24
cute,23
as,23
