name,count
bb,85
lol,48
we,44
one,43
u,39
watch,36
baby,30
or,27
your,26
if,24
wanna,22
more,22
that's,20
yes,20
no,19
now,19
good,19
how,19
out,18
all,18
ok,18
yeah,18
also,18
â¤,17
see,17
something,16
nice,16
think,16
i like,16
really,16
what,15
pic,15
just,15
they,15
make,15
when,14
i wanna,14
want,14
this is,13
come,13
i think,13
bb i,13
watching,12
lmao,12
why,12
of the,12
has,12
will,11
later,11
she,11
been,11
about,11
watch it,11
i have,11
pics,11
take,11
love,11
time,11
who,10
our,10
i was,10
bench,10
cute,10
bbbb,10
you're,10
lot,10
let's,10
<3,10
people,10
much,10
a lot,10
because,9
in the,9
have to,9
would,9
