name,count
lol,39
what,24
good,22
your,20
we,20
he,19
that's,18
just,18
or,17
see,17
also,17
<3,16
know,15
oh,15
how,15
i don't,14
now,14
really,14
;),14
out,13
about,13
if,13
you're,13
going,13
him,12
yeah,12
up,12
by,12
:),12
i'm gonna,11
should,11
i was,10
wanna,10
ok,10
done,10
didn't,10
are you,10
time,10
but i,9
no,9
i have,9
omg,9
to do,9
even,9
actually,9
night,9
haha,9
i can,9
where,9
:(,9
has,9
in the,8
he's,8
when,8
going to,8
i like,8
pretty,8
one,8
on the,8
which,7
something,7
okay,7
cool,7
shit,7
some,7
only,7
still,7
write,7
work,7
email,7
do you,7
for the,7
right,7
much,7
project,7
