name,count
baby,103
lol,100
bb,97
we,67
â¤,66
u,58
good,57
just,54
your,49
yes,46
they,43
ok,41
out,40
what,40
up,39
if,36
love,33
lmao,32
now,32
all,31
when,30
no,30
think,30
he,30
<3,30
really,30
also,29
oh,28
our,27
about,27
one,27
wanna,26
said,26
had,26
will,24
more,24
â¤ â¤,24
cute,23
going,23
see,23
or,22
have to,22
very,22
yeah,22
i love,22
take,22
how,22
sleep,21
i have,21
you're,21
then,21
make,21
stuff,21
much,21
want,21
did,20
goodnight,20
know,19
i was,19
i think,19
would,19
look,19
and i,19
people,19
i've,18
nice,18
that's,18
were,18
actually,18
them,18
should,18
there,17
i wanna,17
i love you,17
love you,17
