name,count
your,95
good,94
lol,85
think,78
if,78
what,74
up,72
just,71
we,70
<3,69
ok,62
:),61
about,57
i think,55
or,53
bb,53
they,52
see,52
now,51
make,49
very,49
know,48
wanna,46
people,46
there,45
how,44
also,44
did,42
should,42
u,41
time,40
out,40
talk,38
okay,38
will,37
work,37
really,37
one,37
some,36
all,36
as,36
sleep,35
he,35
when,35
right,34
lmao,34
bad,33
she,33
you're,33
i don't,31
oh,31
that's,30
bby,29
i can,29
maybe,29
yeah,29
want,29
i have,28
goodnight,27
no,27
cool,27
by,27
has,27
yes,26
been,26
it was,26
come,26
today,26
have to,25
them,25
would,25
more,25
because,24
and i,24
things,24
