name,count
lol,114
we,106
good,82
very,76
they,70
just,70
your,68
<3,63
also,62
up,61
what,57
now,57
know,53
if,51
about,50
u,50
:),47
that's,47
one,47
babe,46
dang,45
or,44
i don't,43
people,43
when,43
see,41
how,40
out,40
time,39
he,39
going,38
ok,38
down,38
think,37
i can,37
feel,36
her,36
you're,35
i have,34
bb,33
talk,32
back,32
i was,31
did,31
lmao,31
she,31
wanna,31
would,31
sleep,30
had,30
some,29
and i,29
no,29
i think,28
all,28
make,28
to be,28
nice,28
night,28
will,27
work,27
haha,27
them,27
didn't,27
him,26
really,26
as,26
yeah,26
next,26
more,26
right,25
goodnight,25
our,25
yes,25
call,24
