name,count
<3,85
:),71
just,70
your,62
what,61
lol,56
we,54
up,52
about,46
also,45
really,41
how,40
feel,38
that's,38
they,38
wanna,32
or,32
good,31
bae,31
know,30
hi,30
if,29
see,29
time,29
think,28
i don't,28
all,27
no,27
when,26
it was,26
one,26
need,26
you're,26
should,26
coffee,25
go to,25
let's,25
more,25
i have,24
yeah,24
nice,23
i think,23
i've,22
out,22
oh,22
make,22
very,22
now,22
haha,22
going,22
sleep,21
i feel,21
tomorrow,21
going to,20
cool,20
have to,20
did,20
he,20
after,20
are you,20
there,19
yes,19
i just,19
night,19
to get,18
call,18
much,18
would,17
day,17
something,16
been,16
maybe,16
even,16
evernote,16
and i,16
