name,count
great,3
today!,2
a great,2
i really,1
yesss, also,1
music.,1
with you,1
you'll,1
for the philosophy,1
you :) the,1
job today! thanks!,1
to working,1
be a,1
enjoy teaching about,1
i'm sure,1
looking forward,1
mine! i like,1
pleasure,1
a great teacher.,1
clear. good,1
ideas for,1
philosophy,1
what we're,1
next week as,1
we're doing. this'll,1
the philosophy,1
sure,1
week,1
nice,1
pleasure was mine!,1
job today!,1
we're doing.,1
really enjoy,1
also,1
i like your,1
also you're,1
super clear. good,1
ideas,1
doing. this'll,1
i'm sure you'll,1
clear.,1
as well!,1
well!,1
thanks! i,1
as,1
for the,1
project yesss, also,1
to working with,1
pleasure was,1
enjoy teaching,1
the philosophy behind,1
project yesss,,1
project,1
your ideas,1
great project yesss,,1
really enjoy teaching,1
next week,1
super clear.,1
you'll do great,1
what we're doing.,1
looking forward to,1
doing. this'll be,1
ideas for the,1
philosophy behind,1
philosophy behind what,1
about,1
great project,1
was mine! i,1
nice meeting,1
teacher. super clear.,1
meeting,1
like your ideas,1
forward,1
hey, nice meeting,1
we're,1
