name,count
bb,46
lol,38
we,33
would,26
what,24
just,24
u,23
ok,23
if,22
think,22
your,21
no,20
happy,19
yes,19
now,19
baby,19
about,17
one,17
good,16
that's,16
or,14
when,14
i don't,14
let's,14
really,14
i think,13
all,13
how,13
make,12
had,12
out,11
wanna,11
i have,11
ipad,11
some,11
people,11
i've,10
okay,10
and i,10
week,10
come,10
will,10
he,10
home,10
very,10
i would,10
omg,10
do you,10
up,10
know,9
did,9
said,9
look,9
need,9
camera,9
yeah,9
then,9
<3,9
see,9
where,9
pimple,9
2,9
looks,8
wanted,8
pic,8
cute,8
tell,8
i just,8
might,8
they,8
work,8
could,8
wanted to,8
more,8
i was,7
