name,count
bb,14
u,12
<3,8
what,8
we,8
come,7
si,7
bbb,6
up,6
let's,6
eat,5
now,5
we can,4
she,4
ok,4
paper,4
very,4
or,4
read,4
discussion,4
love,4
:),4
if,4
there's,4
will,4
have a,4
one,4
after,4
want,4
bbbb,3
about,3
literally,3
home,3
let's have,3
scary,3
out,3
this is,3
babe,3
we're,3
wanna,3
i'm gonna,3
okay,3
lolol,3
song,3
all,3
there,3
i can,3
i love,3
time,3
when,3
no,3
head,3
dinner,3
to read,3
pls,3
just,3
said,3
bad,3
watch,3
make,3
it's okay,3
minutes,2
i heard,2
pasta,2
bbbbbbb,2
bb let's,2
sit with me,2
drank,2
u bb,2
you be,2
a scary,2
slides,2
respond,2
we have,2
day,2
